anio,periodo_cubierto,clasificacion,canal,monto_millones_usd,pct_del_total_anual,total_remesas_anio_millones_usd,desglose_disponible,serie_bcr,fuente,unidad,url_fuente,datos_actualizados_hasta,fecha_publicacion_ultimo_dato,fecha_consulta,nota
2026,Enero-Junio,Agente liquidador (canal de recepcion),Otras empresas remesadoras,2746.55,54.27,5060.60,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,ANIO INCOMPLETO: acumulado enero-junio 2026; cifras preliminares (p); Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2026,Enero-Junio,Agente liquidador (canal de recepcion),Recargas a telefonos moviles,7.42,0.15,5060.60,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,ANIO INCOMPLETO: acumulado enero-junio 2026; cifras preliminares (p); Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2019,Enero-Diciembre,Control,TOTAL de remesas familiares,5656.18,100.00,5656.18,Si,Variable 'Total de remesas familiares' en ambas series,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2020,Enero-Diciembre,Control,TOTAL de remesas familiares,5929.93,100.00,5929.93,Si,Variable 'Total de remesas familiares' en ambas series,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2021,Enero-Diciembre,Control,TOTAL de remesas familiares,7585.24,100.00,7585.24,Si,Variable 'Total de remesas familiares' en ambas series,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2022,Enero-Diciembre,Control,TOTAL de remesas familiares,7819.57,100.00,7819.57,Si,Variable 'Total de remesas familiares' en ambas series,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2023,Enero-Diciembre,Control,TOTAL de remesas familiares,8275.42,100.00,8275.42,Si,Variable 'Total de remesas familiares' en ambas series,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2024,Enero-Diciembre,Control,TOTAL de remesas familiares,8479.70,100.00,8479.70,Si,Variable 'Total de remesas familiares' en ambas series,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2025,Enero-Diciembre,Control,TOTAL de remesas familiares,9987.91,100.00,9987.91,Si,Variable 'Total de remesas familiares' en ambas series,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2026,Enero-Junio,Control,TOTAL de remesas familiares,5060.60,100.00,5060.60,Si,Variable 'Total de remesas familiares' en ambas series,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,ANIO INCOMPLETO: acumulado enero-junio 2026; cifras preliminares (p)
